message,label
Get free recharge using this code.,spam
Get a free iPhone now by clicking this link!,scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
Get free recharge using this code.,spam
Get a free iPhone now by clicking this link!,scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
We detected unusual activity. Click to secure your account.,fraud
আমার সাথে একটু দেখা করবি?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Hurry! Limited-time offer on electronics.,spam
क्या आज मिल सकते हैं?,ham
দয়া করে আপনার KYC আপডেট করুন।,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
क्या आज मिल सकते हैं?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
We detected unusual activity. Click to secure your account.,fraud
Get a free iPhone now by clicking this link!,scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
আমার সাথে একটু দেখা করবি?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Get a free iPhone now by clicking this link!,scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
Don't forget the meeting at 5 PM.,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
क्लास कब खत्म होगी?,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Call me when you're done.,ham
Your bank account is at risk. Verify now.,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
क्या आज मिल सकते हैं?,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
আমার সাথে একটু দেখা করবি?,ham
দয়া করে আপনার KYC আপডেট করুন।,fraud
मम्मी ने दवाई लाने को कहा है।,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"Work from home and earn ₹50,000 per week.",scam
जूते पर 60% की छूट!,spam
Call me when you're done.,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"Work from home and earn ₹50,000 per week.",scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्या आज मिल सकते हैं?,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
इस कोड से फ्री रिचार्ज पाएं।,spam
Don't forget the meeting at 5 PM.,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
We detected unusual activity. Click to secure your account.,fraud
क्लास कब खत्म होगी?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Get a free iPhone now by clicking this link!,scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
Hurry! Limited-time offer on electronics.,spam
Your bank account is at risk. Verify now.,fraud
Hurry! Limited-time offer on electronics.,spam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
क्लास कब खत्म होगी?,ham
Get free recharge using this code.,spam
Get a free iPhone now by clicking this link!,scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
ক্লাস কখন শেষ হবে?,ham
क्या आज मिल सकते हैं?,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
"Work from home and earn ₹50,000 per week.",scam
"Work from home and earn ₹50,000 per week.",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Final warning: Your card will be blocked. Act now.,fraud
Final warning: Your card will be blocked. Act now.,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
Final warning: Your card will be blocked. Act now.,fraud
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
Get a free iPhone now by clicking this link!,scam
ক্লাস কখন শেষ হবে?,ham
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
আমার সাথে একটু দেখা করবি?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Get a free iPhone now by clicking this link!,scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Don't forget the meeting at 5 PM.,ham
Get a free iPhone now by clicking this link!,scam
We detected unusual activity. Click to secure your account.,fraud
আমার সাথে একটু দেখা করবি?,ham
मम्मी ने दवाई लाने को कहा है।,ham
Get a free iPhone now by clicking this link!,scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
इस कोड से फ्री रिचार्ज पाएं।,spam
क्या आज मिल सकते हैं?,ham
We detected unusual activity. Click to secure your account.,fraud
क्या आज मिल सकते हैं?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
We detected unusual activity. Click to secure your account.,fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Are you free for dinner tonight?,ham
Hurry! Limited-time offer on electronics.,spam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
इस कोड से फ्री रिचार्ज पाएं।,spam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
Flat 50% off on shoes. Shop now!,spam
"Work from home and earn ₹50,000 per week.",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
क्लास कब खत्म होगी?,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
यह ऑफर सीमित समय के लिए है।,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
Call me when you're done.,ham
Are you free for dinner tonight?,ham
मम्मी ने दवाई लाने को कहा है।,ham
আমার সাথে একটু দেখা করবি?,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
जूते पर 60% की छूट!,spam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Get free recharge using this code.,spam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
ক্লাস কখন শেষ হবে?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
Hurry! Limited-time offer on electronics.,spam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
We detected unusual activity. Click to secure your account.,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
इस कोड से फ्री रिचार्ज पाएं।,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
আমার সাথে একটু দেখা করবি?,ham
Get free recharge using this code.,spam
আমার সাথে একটু দেখা করবি?,ham
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
আমার সাথে একটু দেখা করবি?,ham
क्या आज मिल सकते हैं?,ham
Don't forget the meeting at 5 PM.,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
Your bank account is at risk. Verify now.,fraud
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
क्या आज मिल सकते हैं?,ham
जूते पर 60% की छूट!,spam
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
We detected unusual activity. Click to secure your account.,fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
Don't forget the meeting at 5 PM.,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Don't forget the meeting at 5 PM.,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
यह ऑफर सीमित समय के लिए है।,spam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Are you free for dinner tonight?,ham
Call me when you're done.,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
Are you free for dinner tonight?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Call me when you're done.,ham
क्लास कब खत्म होगी?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
क्या आज मिल सकते हैं?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Are you free for dinner tonight?,ham
Flat 50% off on shoes. Shop now!,spam
Don't forget the meeting at 5 PM.,ham
Don't forget the meeting at 5 PM.,ham
क्या आज मिल सकते हैं?,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"You've won a lottery of ₹1,00,000. Claim now!",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
ক্লাস কখন শেষ হবে?,ham
Flat 50% off on shoes. Shop now!,spam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Get a free iPhone now by clicking this link!,scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Don't forget the meeting at 5 PM.,ham
Final warning: Your card will be blocked. Act now.,fraud
Are you free for dinner tonight?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"Work from home and earn ₹50,000 per week.",scam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
मम्मी ने दवाई लाने को कहा है।,ham
Your bank account is at risk. Verify now.,fraud
Your bank account is at risk. Verify now.,fraud
আমার সাথে একটু দেখা করবি?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
আমার সাথে একটু দেখা করবি?,ham
जूते पर 60% की छूट!,spam
"Work from home and earn ₹50,000 per week.",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Get free recharge using this code.,spam
Are you free for dinner tonight?,ham
দয়া করে আপনার KYC আপডেট করুন।,fraud
Get free recharge using this code.,spam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Are you free for dinner tonight?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Flat 50% off on shoes. Shop now!,spam
क्लास कब खत्म होगी?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Hurry! Limited-time offer on electronics.,spam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
আমার সাথে একটু দেখা করবি?,ham
"সীমিত সময়ের অফার, মিস করবেন না!",spam
मम्मी ने दवाई लाने को कहा है।,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
We detected unusual activity. Click to secure your account.,fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Are you free for dinner tonight?,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
इस कोड से फ्री रिचार्ज पाएं।,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"Work from home and earn ₹50,000 per week.",scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"Work from home and earn ₹50,000 per week.",scam
Don't forget the meeting at 5 PM.,ham
Your bank account is at risk. Verify now.,fraud
দয়া করে আপনার KYC আপডেট করুন।,fraud
Your bank account is at risk. Verify now.,fraud
क्लास कब खत्म होगी?,ham
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
जूते पर 60% की छूट!,spam
Call me when you're done.,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
जूते पर 60% की छूट!,spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
We detected unusual activity. Click to secure your account.,fraud
Call me when you're done.,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
Your bank account is at risk. Verify now.,fraud
Flat 50% off on shoes. Shop now!,spam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Don't forget the meeting at 5 PM.,ham
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
क्लास कब खत्म होगी?,ham
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Hurry! Limited-time offer on electronics.,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
Flat 50% off on shoes. Shop now!,spam
We detected unusual activity. Click to secure your account.,fraud
Flat 50% off on shoes. Shop now!,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
क्लास कब खत्म होगी?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
Flat 50% off on shoes. Shop now!,spam
ক্লাস কখন শেষ হবে?,ham
"সীমিত সময়ের অফার, মিস করবেন না!",spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
বিনামূল্যে ফোন জিতুন! লিঙ্কে ক্লিক করুন।,scam
Are you free for dinner tonight?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
দয়া করে আপনার KYC আপডেট করুন।,fraud
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
Are you free for dinner tonight?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Don't forget the meeting at 5 PM.,ham
Are you free for dinner tonight?,ham
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
Flat 50% off on shoes. Shop now!,spam
जूते पर 60% की छूट!,spam
Don't forget the meeting at 5 PM.,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्या आज मिल सकते हैं?,ham
Get free recharge using this code.,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
"You've won a lottery of ₹1,00,000. Claim now!",scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
क्या आज मिल सकते हैं?,ham
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Get a free iPhone now by clicking this link!,scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
यह ऑफर सीमित समय के लिए है।,spam
इस कोड से फ्री रिचार्ज पाएं।,spam
Get a free iPhone now by clicking this link!,scam
Flat 50% off on shoes. Shop now!,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
Your bank account is at risk. Verify now.,fraud
Get free recharge using this code.,spam
দয়া করে আপনার KYC আপডেট করুন।,fraud
Get a free iPhone now by clicking this link!,scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Get free recharge using this code.,spam
Your bank account is at risk. Verify now.,fraud
Get a free iPhone now by clicking this link!,scam
আমার সাথে একটু দেখা করবি?,ham
Your bank account is at risk. Verify now.,fraud
क्लास कब खत्म होगी?,ham
ক্লাস কখন শেষ হবে?,ham
We detected unusual activity. Click to secure your account.,fraud
Final warning: Your card will be blocked. Act now.,fraud
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
क्लास कब खत्म होगी?,ham
আমার সাথে একটু দেখা করবি?,ham
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
"Work from home and earn ₹50,000 per week.",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Don't forget the meeting at 5 PM.,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
Flat 50% off on shoes. Shop now!,spam
ক্লাস কখন শেষ হবে?,ham
Hurry! Limited-time offer on electronics.,spam
"You've won a lottery of ₹1,00,000. Claim now!",scam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Get free recharge using this code.,spam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
Don't forget the meeting at 5 PM.,ham
जूते पर 60% की छूट!,spam
यह ऑफर सीमित समय के लिए है।,spam
"Work from home and earn ₹50,000 per week.",scam
We detected unusual activity. Click to secure your account.,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
We detected unusual activity. Click to secure your account.,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Get free recharge using this code.,spam
Flat 50% off on shoes. Shop now!,spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Final warning: Your card will be blocked. Act now.,fraud
Are you free for dinner tonight?,ham
Your bank account is at risk. Verify now.,fraud
আমার সাথে একটু দেখা করবি?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
इस कोड से फ्री रिचार्ज पाएं।,spam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
जूते पर 60% की छूट!,spam
ক্লাস কখন শেষ হবে?,ham
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
"आपने ₹1,00,000 की लॉटरी जीती है!",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
जूते पर 60% की छूट!,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
Are you free for dinner tonight?,ham
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
Flat 50% off on shoes. Shop now!,spam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
इस कोड से फ्री रिचार्ज पाएं।,spam
Get a free iPhone now by clicking this link!,scam
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्लास कब खत्म होगी?,ham
क्या आज मिल सकते हैं?,ham
Get free recharge using this code.,spam
Get a free iPhone now by clicking this link!,scam
ক্লাস কখন শেষ হবে?,ham
Final warning: Your card will be blocked. Act now.,fraud
Your bank account is at risk. Verify now.,fraud
क्या आज मिल सकते हैं?,ham
We detected unusual activity. Click to secure your account.,fraud
We detected unusual activity. Click to secure your account.,fraud
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"Work from home and earn ₹50,000 per week.",scam
Get a free iPhone now by clicking this link!,scam
मम्मी ने दवाई लाने को कहा है।,ham
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"Work from home and earn ₹50,000 per week.",scam
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
Get a free iPhone now by clicking this link!,scam
क्या आज मिल सकते हैं?,ham
मम्मी ने दवाई लाने को कहा है।,ham
क्या आज मिल सकते हैं?,ham
Get free recharge using this code.,spam
আপনার কার্ড বন্ধ হয়ে যাবে। অবিলম্বে কাজ করুন।,fraud
Call me when you're done.,ham
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
Get a free iPhone now by clicking this link!,scam
দয়া করে আপনার KYC আপডেট করুন।,fraud
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
"Work from home and earn ₹50,000 per week.",scam
Hurry! Limited-time offer on electronics.,spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"আপনি ₹১,০০,০০০ জিতেছেন! এখনই দাবি করুন!",scam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
ক্লাস কখন শেষ হবে?,ham
Your bank account is at risk. Verify now.,fraud
"সীমিত সময়ের অফার, মিস করবেন না!",spam
Are you free for dinner tonight?,ham
আমার সাথে একটু দেখা করবি?,ham
Flat 50% off on shoes. Shop now!,spam
এই কোডটি ব্যবহার করে রিচার্জ করুন।,spam
मम्मी ने दवाई लाने को कहा है।,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
मम्मी ने दवाई लाने को कहा है।,ham
यह ऑफर सीमित समय के लिए है।,spam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
इस कोड से फ्री रिचार्ज पाएं।,spam
क्लास कब खत्म होगी?,ham
Get free recharge using this code.,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
क्लास कब खत्म होगी?,ham
"You've won a lottery of ₹1,00,000. Claim now!",scam
Flat 50% off on shoes. Shop now!,spam
Get free recharge using this code.,spam
"সীমিত সময়ের অফার, মিস করবেন না!",spam
"Work from home and earn ₹50,000 per week.",scam
"आपका बैंक खाता असुरक्षित है, अभी सत्यापित करें।",fraud
Get a free iPhone now by clicking this link!,scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
क्लास कब खत्म होगी?,ham
क्या आज मिल सकते हैं?,ham
"घर बैठे काम करें और ₹50,000 कमाएँ।",scam
आपका एटीएम कार्ड बंद किया जा सकता है।,fraud
Get free recharge using this code.,spam
আপনার ব্যাঙ্ক অ্যাকাউন্ট ঝুঁকির মধ্যে রয়েছে। এখনই যাচাই করুন।,fraud
"Work from home and earn ₹50,000 per week.",scam
Are you free for dinner tonight?,ham
We detected unusual activity. Click to secure your account.,fraud
আমার সাথে একটু দেখা করবি?,ham
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
আজ সন্ধ্যায় সিনেমা দেখতে যাবো?,ham
अपना KYC अपडेट करें वरना खाता बंद हो जाएगा।,fraud
"বাড়িতে বসে কাজ করুন এবং প্রতি সপ্তাহে ₹৫০,০০০ আয় করুন।",scam
৬০% ছাড়ে জুতো! এখনই অর্ডার করুন।,spam
"एक नया फोन जीतने का मौका, अभी क्लिक करें।",scam
